session_id,session_Name,session_FromTime,session_ToTime,department_ID,course_ID,book_ID
133,"Reduced well-modulated framework",2021-06-02,2020-05-31,265,82,499
134,"Reverse-engineered attitude-oriented strategy",2020-06-13,2021-05-01,65,314,386
135,"Cloned 4th generation instruction set",2021-07-20,2020-08-13,192,416,940
136,"Optimized zero administration standardization",2021-11-02,2021-04-08,474,366,710
137,"Synchronised disintermediate task-force",2020-02-21,2021-09-20,482,299,169
138,"Decentralized 3rd generation productivity",2021-08-05,2020-06-13,447,271,810
139,"Centralized cohesive implementation",2020-04-15,2020-09-19,433,365,676
140,"Down-sized multi-tasking implementation",2020-02-09,2021-09-26,45,92,123
141,"Compatible scalable productivity",2021-05-31,2021-10-27,355,136,38
142,"Digitized grid-enabled ability",2021-06-07,2020-03-20,461,66,160
144,"Reduced 6th generation emulation",2021-06-27,2020-09-01,473,74,391
145,"Adaptive intangible pricing structure",2021-11-03,2021-06-13,320,148,594
146,"Customer-focused 24 hour monitoring",2021-10-08,2020-03-20,120,177,198
147,"Public-key high-level knowledge base",2021-02-27,2021-08-26,426,294,305
148,"Centralized local artificial intelligence",2020-06-19,2021-04-12,147,184,571
149,"Multi-tiered mission-critical frame",2021-09-19,2021-08-19,116,255,564
150,"Automated holistic implementation",2020-10-08,2021-03-29,273,214,707
151,"Multi-lateral web-enabled paradigm",2021-05-19,2021-09-08,160,186,906
152,"Networked 5th generation moderator",2021-10-02,2021-03-24,136,261,702
153,"Streamlined high-level internet solution",2021-08-21,2021-06-16,69,273,88
154,"Reduced regional frame",2021-06-20,2021-05-27,190,84,476
155,"Down-sized cohesive product",2020-10-09,2020-05-25,478,201,71
156,"Cloned client-driven ability",2021-02-04,2021-07-01,497,117,977
157,"Streamlined cohesive model",2020-12-27,2021-06-30,66,234,498
158,"Self-enabling responsive definition",2020-02-02,2021-07-06,325,43,261
159,"Virtual context-sensitive help-desk",2021-05-14,2021-08-20,483,167,702
160,"Adaptive multimedia definition",2020-06-05,2021-04-16,119,8,534
161,"Ergonomic optimal parallelism",2020-02-27,2020-12-16,158,82,177
162,"Reverse-engineered secondary implementation",2020-09-05,2020-07-09,475,377,69
163,"Implemented multi-state methodology",2020-07-12,2020-10-05,382,308,524
164,"Pre-emptive eco-centric attitude",2020-01-26,2021-05-21,179,13,866
165,"Profit-focused directional functionalities",2020-04-13,2021-01-30,463,165,248
166,"Front-line zero defect framework",2021-03-21,2020-12-17,26,68,495
167,"Customer-focused systemic circuit",2020-03-17,2021-04-26,200,18,413
168,"Re-engineered reciprocal concept",2020-04-26,2020-04-30,265,434,951
169,"Optional regional function",2020-10-16,2020-06-16,86,398,537
170,"Customer-focused solution-oriented concept",2020-11-01,2021-09-21,160,35,908
171,"Switchable radical paradigm",2021-05-01,2021-05-20,346,117,534
172,"Public-key multimedia contingency",2020-01-30,2021-10-07,133,286,137
173,"Centralized scalable ability",2020-11-05,2021-02-07,199,460,443
174,"Universal systematic success",2020-05-09,2020-11-09,470,83,241
175,"Balanced empowering capacity",2020-11-07,2020-03-18,297,126,198
176,"Enterprise-wide modular emulation",2021-11-09,2020-07-22,5,128,615
177,"Face to face composite protocol",2020-05-13,2021-01-27,50,161,82
178,"Intuitive tangible migration",2020-08-25,2021-08-23,296,184,313
179,"Open-architected value-added infrastructure",2020-01-23,2021-09-02,175,222,812
180,"Innovative systematic attitude",2021-09-27,2021-07-28,279,459,213
181,"Persistent empowering process improvement",2021-01-17,2021-04-20,80,407,758
182,"Digitized transitional application",2021-09-17,2021-10-24,392,5,747
183,"Automated interactive middleware",2020-04-10,2021-04-24,55,461,553
184,"Face to face analyzing orchestration",2020-04-06,2020-07-03,4,353,715
185,"Progressive content-based moratorium",2020-06-09,2020-04-18,18,462,965
186,"Open-architected encompassing circuit",2020-05-21,2021-07-05,96,52,438
187,"Managed interactive hub",2020-01-28,2021-09-04,160,483,18
188,"Profit-focused leading edge concept",2021-02-20,2021-11-04,97,135,793
189,"Self-enabling tangible analyzer",2020-12-12,2020-06-09,86,368,273
190,"Mandatory value-added infrastructure",2020-11-26,2021-10-09,396,403,512
191,"Realigned multi-tasking utilisation",2020-12-13,2021-04-01,361,354,614
192,"Decentralized bi-directional framework",2021-10-31,2021-06-08,423,70,526
193,"Automated full-range matrices",2020-04-16,2021-10-25,288,165,630
194,"Assimilated client-driven hardware",2021-02-12,2020-06-07,101,304,554
195,"Self-enabling full-range initiative",2021-07-23,2021-01-13,428,350,483
196,"Realigned modular benchmark",2021-05-02,2020-06-06,119,327,654
197,"Profit-focused fault-tolerant infrastructure",2020-02-12,2020-07-26,152,390,838
198,"Enterprise-wide coherent capability",2020-07-21,2020-09-07,120,183,342
199,"Mandatory client-server analyzer",2020-09-08,2020-02-21,100,236,617
200,"Cloned 5th generation implementation",2021-06-28,2020-07-13,392,2,992
201,"Fully-configurable tertiary flexibility",2020-06-28,2021-11-01,416,422,348
202,"Robust systemic archive",2020-11-03,2021-10-13,136,123,114
203,"Front-line zero administration alliance",2021-07-13,2021-04-24,153,371,283
204,"Innovative regional process improvement",2021-01-03,2020-12-08,19,154,81
205,"Open-architected even-keeled encoding",2020-06-21,2021-10-28,370,141,258
206,"Open-architected composite circuit",2021-07-01,2020-08-24,238,82,357
207,"Intuitive intangible array",2020-10-13,2020-05-21,164,289,842
208,"Object-based context-sensitive interface",2020-08-09,2021-07-11,40,353,93
209,"Horizontal context-sensitive flexibility",2020-10-29,2020-04-04,279,55,200
210,"Ergonomic global framework",2020-11-24,2020-10-03,315,3,669
211,"User-centric foreground model",2021-01-06,2021-04-10,381,490,137
212,"Right-sized contextually-based collaboration",2021-04-20,2020-06-06,253,139,937
213,"Open-source impactful attitude",2020-08-01,2020-04-10,461,490,54
214,"Adaptive real-time budgetary management",2020-03-03,2021-10-30,119,195,283
215,"User-friendly neutral service-desk",2020-03-27,2021-05-20,406,260,493
216,"Organic leading edge budgetary management",2020-03-31,2020-09-01,460,451,660
217,"Optional multimedia Graphical User Interface",2021-03-09,2021-01-16,95,95,837
218,"Grass-roots leading edge system engine",2020-04-09,2020-11-10,198,125,298
219,"Pre-emptive neutral success",2021-08-03,2021-09-15,485,264,336
220,"Enterprise-wide optimal application",2021-05-04,2021-01-24,336,250,482
221,"Customer-focused uniform product",2020-05-18,2021-04-26,359,97,347
222,"Multi-layered system-worthy workforce",2021-08-15,2020-10-22,449,266,739
223,"Secured high-level secured line",2020-09-04,2020-08-14,312,317,830
224,"Vision-oriented dedicated service-desk",2021-04-12,2021-05-16,375,293,517
225,"Cross-group tertiary superstructure",2020-03-13,2020-11-07,459,486,280
226,"Organized incremental core",2021-01-16,2020-08-24,260,478,163
227,"Proactive local Graphic Interface",2020-12-06,2020-02-17,9,73,735
228,"Adaptive contextually-based application",2021-03-04,2021-01-09,235,123,740
229,"Optimized heuristic leverage",2021-04-09,2020-07-23,288,380,620
230,"Down-sized exuding product",2020-11-06,2020-05-23,174,112,32
231,"Decentralized zero tolerance encoding",2021-01-03,2021-10-05,216,197,618
232,"Right-sized radical firmware",2021-11-07,2020-04-12,137,378,701
234,"Profit-focused even-keeled data-warehouse",2020-01-11,2020-08-21,47,355,475
235,"Managed next generation infrastructure",2020-03-24,2020-10-26,19,92,793
236,"Fully-configurable impactful hierarchy",2020-07-29,2020-08-31,432,364,414
237,"Diverse bottom-line methodology",2020-02-06,2020-09-10,214,124,73
238,"Networked cohesive middleware",2021-01-11,2020-07-19,51,89,156
239,"Inverse maximized installation",2021-04-08,2020-09-14,392,279,827
240,"Public-key didactic Graphical User Interface",2021-06-21,2021-09-19,178,458,795
241,"Open-architected 4th generation capacity",2020-11-03,2021-08-09,225,7,34
242,"Fully-configurable upward-trending database",2021-06-12,2020-07-18,198,144,490
243,"Universal user-facing alliance",2021-01-06,2021-08-26,186,428,155
244,"Persevering didactic benchmark",2021-04-27,2021-05-09,370,375,724
245,"Compatible system-worthy software",2020-02-17,2020-09-17,299,454,514
246,"Public-key contextually-based solution",2021-01-01,2020-07-19,311,468,893
247,"Secured mission-critical encoding",2021-04-04,2021-08-13,409,290,114
248,"Upgradable tertiary project",2021-02-02,2021-05-30,471,335,366
249,"Re-contextualized asymmetric database",2020-01-15,2020-07-26,452,75,997
250,"Centralized neutral open system",2020-01-17,2020-12-20,10,420,567
251,"Extended analyzing collaboration",2020-07-27,2020-10-28,85,167,998
252,"Advanced upward-trending customer loyalty",2020-04-30,2021-04-30,389,392,362
253,"Compatible solution-oriented emulation",2020-06-23,2021-10-13,183,301,174
254,"Triple-buffered client-driven encryption",2020-09-05,2021-02-07,360,384,998
255,"Multi-layered analyzing complexity",2020-03-18,2020-03-23,245,335,706
256,"Progressive optimizing collaboration",2021-10-04,2020-12-19,158,283,587
257,"Profit-focused composite database",2020-10-27,2021-07-21,150,287,632
258,"Expanded reciprocal core",2020-06-18,2021-02-23,386,315,570
259,"Reverse-engineered heuristic product",2021-05-22,2021-08-22,163,256,714
260,"Organic zero defect superstructure",2020-12-31,2020-06-03,69,43,16
261,"Distributed scalable groupware",2021-04-04,2020-06-20,239,314,634
262,"Optimized neutral solution",2020-04-07,2021-08-15,416,160,651
263,"Re-contextualized clear-thinking time-frame",2021-09-11,2021-03-22,160,252,547
264,"Universal global knowledge user",2020-04-25,2021-06-05,83,252,581
265,"Focused neutral secured line",2021-01-13,2021-04-30,64,475,999
266,"Face to face zero tolerance standardization",2021-07-03,2021-03-13,349,352,585
267,"Realigned asymmetric complexity",2021-09-19,2021-05-09,285,261,347
268,"Diverse directional function",2020-02-22,2021-02-04,140,496,133
269,"Synchronised 5th generation knowledge base",2021-02-07,2020-11-28,141,482,165
270,"Digitized multi-tasking moderator",2020-11-26,2021-07-09,240,82,942
271,"Persistent reciprocal benchmark",2020-07-13,2020-03-05,476,223,133
272,"Phased disintermediate challenge",2020-10-28,2020-06-18,379,435,624
273,"Reduced 3rd generation application",2021-01-19,2021-03-03,119,461,805
274,"Re-contextualized coherent customer loyalty",2021-02-04,2021-11-02,402,21,369
275,"Reactive bi-directional open system",2021-03-24,2021-10-07,216,270,88
276,"Synergized non-volatile contingency",2021-02-26,2021-10-31,139,92,159
277,"Optional solution-oriented frame",2020-09-26,2021-09-10,117,37,129
278,"Cloned radical benchmark",2020-09-21,2021-03-04,148,489,293
279,"Pre-emptive zero administration moderator",2021-01-08,2020-05-07,32,210,938
280,"Synchronised interactive standardization",2020-06-02,2020-06-13,360,369,19
281,"Advanced tangible throughput",2020-03-23,2021-08-10,256,109,309
282,"Mandatory multimedia complexity",2020-12-01,2021-01-14,233,435,197
283,"Expanded local info-mediaries",2021-05-24,2020-06-19,1,105,292
284,"Upgradable 6th generation hardware",2020-07-23,2021-02-12,189,154,3
285,"Fully-configurable value-added migration",2020-07-06,2020-08-27,2,412,721
286,"Reverse-engineered value-added structure",2020-07-31,2021-04-27,248,476,99
287,"Progressive zero tolerance firmware",2020-01-21,2021-10-13,35,57,557
288,"Ergonomic holistic application",2020-10-31,2021-06-28,275,209,778
289,"Profit-focused static conglomeration",2021-09-30,2021-03-14,75,164,675
290,"Grass-roots optimizing capacity",2020-11-26,2021-06-12,361,105,501
291,"Cloned high-level website",2020-11-10,2020-08-04,398,131,737
292,"Synchronised multimedia contingency",2020-04-04,2021-08-08,305,447,516
293,"Ergonomic asymmetric model",2020-03-14,2021-04-02,270,130,321
294,"Stand-alone regional synergy",2020-11-03,2020-02-20,27,446,1
295,"Innovative 4th generation throughput",2020-09-05,2021-08-04,376,115,98
296,"Innovative 4th generation contingency",2021-10-07,2021-07-07,188,181,192
297,"Function-based empowering superstructure",2021-09-28,2020-03-16,183,394,518
298,"Team-oriented fault-tolerant firmware",2021-09-15,2021-10-25,289,483,593
299,"Automated value-added throughput",2021-01-30,2020-04-14,453,368,968
300,"Organic foreground hardware",2020-06-22,2021-07-18,33,91,304
301,"Virtual bottom-line process improvement",2020-02-27,2021-11-03,113,114,733
302,"Optional disintermediate functionalities",2020-12-24,2020-11-10,349,151,204
303,"Phased methodical moratorium",2020-07-02,2020-05-30,481,190,146
304,"Ameliorated value-added infrastructure",2020-02-22,2020-04-25,207,223,449
305,"Quality-focused uniform system engine",2020-03-08,2020-02-11,479,455,413
306,"Future-proofed analyzing challenge",2020-03-15,2021-09-29,85,113,771
307,"Cross-group scalable extranet",2020-10-23,2020-03-01,203,5,580
308,"Right-sized multi-tasking concept",2021-04-12,2021-07-31,58,158,472
309,"Assimilated coherent benchmark",2020-04-27,2021-05-30,25,432,890
310,"Virtual exuding core",2020-06-10,2021-09-02,294,314,865
311,"Ameliorated 24/7 info-mediaries",2020-09-28,2021-02-28,500,223,655
312,"Proactive encompassing attitude",2021-04-14,2021-07-15,218,143,343
313,"Profit-focused methodical moderator",2021-08-06,2020-10-23,390,151,759
314,"Operative user-facing database",2021-05-07,2021-02-05,423,427,492
315,"Multi-layered coherent circuit",2021-04-04,2020-06-06,327,469,916
316,"Right-sized maximized artificial intelligence",2020-06-03,2020-11-20,349,453,853
317,"Synergistic multimedia attitude",2021-05-15,2021-09-11,90,107,829
318,"Synergistic empowering access",2020-08-16,2020-05-23,183,166,778
319,"Seamless actuating process improvement",2021-07-04,2021-09-15,218,418,883
320,"Switchable well-modulated software",2021-08-02,2020-04-06,366,33,519
321,"Organic client-server neural-net",2021-03-03,2020-11-27,205,294,479
322,"Profit-focused optimal architecture",2020-08-14,2021-05-06,43,123,878
323,"Sharable neutral model",2020-01-14,2020-05-12,470,309,401
324,"Future-proofed stable success",2020-09-02,2020-05-07,397,288,236
326,"Integrated motivating installation",2021-02-12,2020-07-24,196,497,374
327,"Monitored high-level structure",2020-09-08,2021-07-29,123,450,305
328,"Focused homogeneous internet solution",2020-11-02,2020-03-12,458,326,458
329,"Quality-focused bandwidth-monitored firmware",2021-02-11,2021-04-13,256,425,12
330,"Fundamental impactful neural-net",2021-02-25,2020-04-13,491,367,458
331,"Right-sized fault-tolerant encryption",2021-07-14,2021-08-08,469,240,812
332,"Assimilated executive function",2021-02-12,2021-03-07,53,481,279
333,"Secured system-worthy initiative",2020-09-25,2020-06-15,123,410,679
334,"Automated tertiary functionalities",2021-11-01,2020-05-19,232,482,435
335,"Monitored multi-state functionalities",2021-05-05,2020-11-23,431,142,748
336,"Optimized bottom-line solution",2020-12-20,2021-06-27,366,439,85
337,"Face to face well-modulated alliance",2021-03-08,2020-03-05,284,75,23
338,"Diverse secondary orchestration",2021-10-17,2020-06-22,20,387,390
339,"Integrated bi-directional contingency",2021-08-13,2020-02-26,180,316,191
340,"Function-based coherent collaboration",2021-04-30,2020-10-11,161,79,163
341,"Re-engineered analyzing application",2020-06-10,2020-04-17,122,342,983
342,"Face to face disintermediate core",2020-05-30,2021-07-27,19,231,424
343,"De-engineered needs-based task-force",2021-03-27,2020-12-12,28,34,3
344,"Versatile zero tolerance local area network",2020-12-29,2020-11-14,498,36,8
345,"Distributed bifurcated task-force",2020-11-17,2020-03-31,125,493,638
346,"Grass-roots local portal",2020-10-01,2020-07-30,160,171,559
347,"Cloned tertiary service-desk",2020-03-28,2020-11-06,195,44,449
348,"Profound incremental success",2021-06-15,2021-08-21,139,58,815
349,"Triple-buffered empowering time-frame",2020-05-28,2021-01-01,116,145,694
350,"Open-source impactful knowledge user",2021-10-09,2020-08-23,287,64,300
351,"Centralized maximized analyzer",2021-06-13,2020-06-02,373,52,905
352,"Object-based leading edge flexibility",2020-06-03,2021-04-02,299,42,541
353,"Up-sized analyzing moratorium",2020-05-11,2021-11-05,153,9,112
354,"Synchronised logistical migration",2020-12-28,2020-09-17,82,32,690
355,"Triple-buffered non-volatile functionalities",2020-11-15,2020-02-18,398,30,829
356,"Triple-buffered bi-directional ability",2020-06-06,2020-12-14,371,312,334
357,"Profit-focused solution-oriented hub",2020-03-09,2020-12-12,333,154,675
358,"Enhanced methodical matrix",2020-04-15,2021-08-08,244,262,398
359,"Realigned high-level productivity",2020-12-12,2021-05-02,420,302,359
360,"Organized system-worthy process improvement",2020-01-08,2021-03-19,357,124,494
361,"Focused scalable capacity",2020-06-12,2020-05-21,160,477,600
362,"Networked grid-enabled software",2020-12-11,2021-10-19,51,167,413
363,"Reduced interactive ability",2021-06-17,2021-06-16,199,117,632
364,"Re-contextualized system-worthy matrices",2020-11-01,2020-08-16,454,480,878
365,"Pre-emptive empowering support",2021-10-20,2020-09-04,206,313,340
366,"Optional maximized matrices",2020-08-22,2021-01-02,67,339,870
367,"Expanded multi-state framework",2020-12-29,2021-10-27,58,208,743
368,"Customizable 6th generation analyzer",2020-03-12,2021-05-03,293,20,9
369,"De-engineered intangible hardware",2020-01-18,2021-04-30,416,51,668
370,"Advanced radical algorithm",2021-06-01,2021-04-14,470,29,848
371,"Proactive user-facing encryption",2020-09-06,2020-03-07,307,423,587
372,"Business-focused grid-enabled adapter",2020-03-09,2020-05-11,418,245,564
373,"Extended disintermediate matrix",2020-07-21,2020-06-02,168,372,204
374,"Right-sized composite collaboration",2021-02-14,2020-08-26,396,365,750
375,"Right-sized multi-state product",2020-05-15,2021-03-25,390,430,401
376,"Business-focused foreground paradigm",2021-03-03,2020-07-24,206,471,465
377,"Integrated background support",2021-06-09,2020-03-22,367,312,26
379,"Persistent non-volatile intranet",2021-08-12,2021-10-27,282,250,579
380,"Automated tertiary process improvement",2020-03-08,2021-04-24,391,247,810
381,"User-centric solution-oriented support",2021-08-18,2020-12-14,167,367,126
382,"Right-sized eco-centric product",2021-07-23,2021-03-02,58,46,545
384,"Networked static initiative",2020-08-01,2021-10-11,291,340,857
385,"Advanced dedicated attitude",2020-05-20,2020-07-18,9,449,975
386,"Multi-channelled exuding alliance",2020-02-19,2020-04-16,53,50,3
387,"Fully-configurable regional ability",2021-02-03,2021-06-14,491,93,820
388,"Ergonomic coherent challenge",2020-10-05,2020-04-21,109,216,603
389,"Operative disintermediate infrastructure",2020-08-16,2021-01-03,257,189,467
390,"Business-focused client-server knowledge base",2020-06-03,2021-01-28,356,85,202
391,"Organic fresh-thinking neural-net",2020-03-12,2021-06-03,240,74,305
392,"Future-proofed holistic definition",2021-09-29,2021-04-14,159,148,630
393,"Optimized even-keeled data-warehouse",2020-03-22,2020-07-12,139,24,672
394,"Extended system-worthy framework",2020-07-24,2020-06-19,139,18,190
395,"Extended zero tolerance algorithm",2020-09-22,2020-04-14,76,396,599
396,"Function-based 6th generation array",2020-03-01,2020-11-03,441,337,396
397,"Organized background utilisation",2020-09-21,2021-02-19,391,80,925
398,"Re-engineered logistical collaboration",2021-04-27,2020-10-10,188,396,789
399,"Pre-emptive bottom-line archive",2020-10-10,2020-07-19,325,280,706
400,"Profound composite instruction set",2021-02-13,2021-04-14,62,372,595
401,"Managed uniform focus group",2020-08-17,2020-07-07,302,111,707
402,"Devolved system-worthy analyzer",2020-09-16,2021-03-08,487,115,359
403,"Cross-platform radical interface",2020-12-03,2020-03-07,261,339,467
404,"Organized contextually-based open system",2020-07-14,2020-10-12,172,332,848
